list_name,name,label,prov,com,zon,order
provinces,1,BUBANZA,,,,
provinces,2,BUJUMBURA,,,,
provinces,3,BURURI,,,,
provinces,4,CANKUZO,,,,
provinces,5,CIBITOKE,,,,
provinces,6,GITEGA,,,,
provinces,7,KARUSI,,,,
provinces,8,KAYANZA,,,,
provinces,9,KIRUNDO,,,,
provinces,10,MAKAMBA,,,,
provinces,11,MURAMVYA,,,,
provinces,12,MUYINGA,,,,
provinces,13,MWARO,,,,
provinces,14,NGOZI,,,,
provinces,15,RUMONGE,,,,
provinces,16,RUTANA,,,,
provinces,17,RUYIGI,,,,
provinces,18,MAIRIE DE BUJUMBURA,,,,
communes,101,BUBANZA,1,,,
communes,102,GIHANGA,1,,,
communes,103,MPANDA,1,,,
communes,104,MUSIGATI,1,,,
communes,105,RUGAZI,1,,,
communes,201,ISARE,2,,,
communes,202,KABEZI,2,,,
communes,203,KANYOSHA,2,,,
communes,204,MUBIMBI,2,,,
communes,205,MUGONGO-MANGA,2,,,
communes,206,MUKIKE,2,,,
communes,207,MUTAMBU,2,,,
communes,208,MUTIMBUZI,2,,,
communes,209,NYABIRABA,2,,,
communes,301,BURURI,3,,,
communes,302,MATANA,3,,,
communes,303,MUGAMBA,3,,,
communes,304,RUTOVU,3,,,
communes,305,SONGA,3,,,
communes,306,VYANDA,3,,,
communes,401,CANKUZO,4,,,
communes,402,CENDAJURU,4,,,
communes,403,GISAGARA,4,,,
communes,404,KIGAMBA,4,,,
communes,405,MISHIHA,4,,,
communes,501,BUGANDA,5,,,
communes,502,BUKINANYANA,5,,,
communes,503,MABAYI,5,,,
communes,504,MUGINA,5,,,
communes,505,MURWI,5,,,
communes,506,RUGOMBO,5,,,
communes,601,BUGENDANA,6,,,
communes,602,BUKIRASAZI,6,,,
communes,603,BURAZA,6,,,
communes,604,GIHETA,6,,,
communes,605,GISHUBI,6,,,
communes,606,GITEGA,6,,,
communes,607,ITABA,6,,,
communes,608,MAKEBUKO,6,,,
communes,609,MUTAHO,6,,,
communes,610,NYARUSANGE,6,,,
communes,611,RYANSORO,6,,,
communes,701,BUGENYUZI,7,,,
communes,702,BUHIGA,7,,,
communes,703,GIHOGAZI,7,,,
communes,704,GITARAMUKA,7,,,
communes,705,MUTUMBA,7,,,
communes,706,NYABIKERE,7,,,
communes,707,SHOMBO,7,,,
communes,801,BUTAGANZWA I,8,,,
communes,802,GAHOMBO,8,,,
communes,803,GATARA,8,,,
communes,804,KABARORE,8,,,
communes,805,KAYANZA,8,,,
communes,806,MATONGO,8,,,
communes,807,MUHANGA,8,,,
communes,808,MURUTA,8,,,
communes,809,RANGO,8,,,
communes,901,BUGABIRA,9,,,
communes,902,BUSONI,9,,,
communes,903,BWAMBARANGWE,9,,,
